Date,wind_10m,specific_humidity,LW_down,SW_down,rainfall,snowfall,sosaline,sst,t2m,surface_pressure,sea_ice_extent
1984-11,5.460894743928777,1.1911405384275002,209.94278289365167,4.929831542702319,1.1796139501297678,0.9033352715012725,33.26751183320014,274.1607073742034,256.5884664062811,981.2111411267389,11319686.0
1984-12,5.882627278357103,1.0318306352266648,198.40029258218718,1.096028566730338,1.342333100609229,1.0532560866734821,33.330044686834896,273.72611709711265,252.94333539134485,978.7041683400482,13213142.0
1985-01,5.684647417679407,0.8799275955042948,190.60112293701417,3.1687145334190765,0.9977315073495744,0.8758597412045817,33.367786882067556,273.45139782387423,251.6472296196701,985.2987375953329,14963667.0
1985-02,5.275916657219407,0.7668465570353497,183.27832087460658,19.20192661045261,0.9524991495889463,0.7886241217054792,33.37543155976775,273.2727679309823,249.71918425005646,989.451030476009,15771314.0
1985-03,5.350921685145743,0.9635786322658192,193.12588317015283,69.75181391986438,0.9981952170385204,0.8430076312259795,33.38429992765296,273.1636126104146,253.9640088420353,981.0611096614812,16137266.0
1985-04,4.997702175685303,1.2317165021263865,212.08825398935159,159.19932087360377,0.919967135799591,0.7433622710958827,33.36510430116087,273.2098451872701,259.52056022074487,983.4424475091723,15407986.0
1985-05,4.583974560568506,2.2522016790902573,257.701855303324,228.51363459948163,1.0608185965683299,0.6768570621568404,33.314936688810945,273.56136919338644,269.6868083598687,984.7910475831343,14260927.0
1985-06,4.453277291881263,3.8009867027036193,289.5076564798817,248.65849791876633,1.334149962782955,0.3333227971338927,33.235463131979266,274.4781954384295,277.3166464400545,982.9898161521238,12445600.0
1985-07,4.463709518833509,4.877146299392986,307.76685354337116,199.7815411064463,1.6634671547057125,0.163515278146159,33.15440115406682,276.13553419034037,279.5004634917737,982.1189790069127,10158967.0
1985-08,4.5786608176174095,4.501668814994173,300.9599830805807,135.30877471746555,1.949035643347028,0.3113360930383557,33.11977511503109,277.24643700042407,278.1832433647631,981.1171400163465,7504422.0
1985-09,5.126017475861716,3.3089978061081484,278.7007186970899,71.02105060205352,1.820453313890415,0.6215737084586465,33.14929376022499,276.5974597385892,273.53542203626637,981.0878178276012,6935105.0
1985-10,5.438012190824815,2.0043952215157113,242.93498289700796,24.394619714623445,1.6426185795644621,1.0302726106720428,33.22805206803319,275.03931834276017,265.00659442653716,977.9406294806279,8915441.0
1985-11,5.749934791106972,1.2809594552399761,216.56938301681768,5.154006224250769,1.4496021245869894,1.1782870114787698,33.30358039239626,274.04876144767616,258.0128700519716,983.7523805999001,11417014.0
1985-12,5.582664152377731,0.9679191761586642,199.3535713719902,1.1393111897710784,1.128020499172915,0.9509141070124858,33.36092081300648,273.5767506562714,253.8008207893121,984.9159618506252,13249869.0
