Date,wind_10m,specific_humidity,LW_down,SW_down,rainfall,snowfall,sst,t2m,surface_pressure,sea_ice_extent
2000-06-05,4.859468636244358,3.253474511611481,275.07849030003814,265.8154014544676,1.3242412113520285,0.46018673077734584,274.311189030537,275.6289484617955,982.5919873696186,12107594.0
2000-06-06,4.98914168337421,3.332096831259792,276.4792743755176,262.01558848456017,1.2281970001483546,0.41744153213567553,274.33825904474514,276.08145785814236,980.4556742130454,12058139.0
2000-06-07,4.644508634106301,3.4031573370734924,275.88408604225174,270.78783252326116,1.1358495519792369,0.33389072424878874,274.3753275953328,276.10666901735954,978.9631196980121,12050292.0
2000-06-08,4.308497644440823,3.4834665486056084,276.2703723006982,271.51511976700033,1.4544792487876241,0.4207693446183675,274.4192233516259,276.51969972068997,978.584553908812,11983619.0
2000-06-09,4.459312542285938,3.527248153847286,277.77493378433195,267.95724467096403,1.3693884491742419,0.34044220232757383,274.46336834740765,276.8109272488502,978.3502531631166,11996357.0
2000-06-10,4.62694165813732,3.567660446554452,280.98419043874253,264.71649300072727,1.5483848429201807,0.4576424655608352,274.51105234561214,276.8743797755724,979.3735360940312,11884576.0
2000-06-11,4.961806507699205,3.6225496743858048,281.6546384887168,264.73789664144846,1.5316634599370444,0.437044958251645,274.5570164577378,277.0812030626982,979.04085654413,11922696.0
2000-06-12,4.8771328640433635,3.6824436699109824,282.73770156384194,265.31064843034864,1.6130369316284037,0.37602465437168014,274.5897292032831,277.2188896946606,977.2312593864682,11839685.0
2000-06-13,4.927026909260201,3.798612807613387,285.32804460577745,259.9027127285599,1.5916611584922393,0.38533881106891477,274.60505166034955,277.568939779062,974.8699830101012,11815407.0
2000-06-14,4.99428889194783,3.8837390049053373,286.63850188916183,256.1768407845622,1.5201870931483799,0.33030643742617044,274.614095963587,277.6324403177871,975.0925497832395,11754622.0
2000-06-15,4.626499984960465,3.945721546247926,286.97866066732865,261.78648222120745,1.418523263368087,0.2989581953961132,274.6366827492511,277.5668512230817,975.9029996641038,11709859.0
2000-06-16,4.578448539767806,4.04568639760531,290.1018164416596,256.04125337188185,1.8047405018975289,0.2291171852488676,274.6585032895909,277.8354433996015,979.4459656480617,11705813.0
2000-06-17,4.598757157746184,4.1649502160379415,292.92478291737984,248.73064676022392,2.122539488339042,0.336009414996721,274.7029811961121,277.96699169954684,979.1584332886401,11659654.0
2000-06-18,4.402583020051702,4.235012337223208,294.73121700460484,243.98775886548182,1.917828731867073,0.3511700970890214,274.7543073164246,278.2123138397856,976.5031922202246,11597848.0
2000-06-19,4.522171867165634,4.240499594141375,293.35424408304124,245.4196976771673,1.6160623705610178,0.23687698315987504,274.8257842865002,278.40752134072443,975.1704244261867,11573113.0
2000-06-20,4.71646487248839,4.244207791047932,291.0157694843974,253.55179263736642,1.6005223541348574,0.24922109693509617,274.89305278050637,278.3871018297024,976.0553953961586,11483359.0
2000-06-21,4.615953520461916,4.1305349786856445,294.4792824307132,245.57935281011194,1.7741399691345763,0.3191663803656246,274.96395877080096,277.9498776908584,978.950435077407,11399457.0
2000-06-22,4.7635252870726985,4.228226122669094,296.6672447702186,235.1604735546625,1.9775490315636997,0.2852473350591534,275.04013857500735,278.1456902774596,980.1187588002829,11399903.0
2000-06-23,5.133422185598633,4.230408325354471,293.6141821940501,241.56486112267265,1.6902155350107742,0.32977749967794323,275.10562399537145,278.1364919822303,980.8815149770894,11344030.0
2000-06-24,5.121230047527437,4.107825948531419,293.1722906949404,248.7651164906699,1.3518888886659848,0.29549773656045997,275.16337840478457,278.1445691251824,982.3018070960943,11289770.0
2000-06-25,4.818849360482907,4.214467916078199,296.8146450903554,245.09328667576264,1.2193566361225456,0.14073260493488537,275.20989052457105,278.7046030043742,983.022381329705,11246904.0
2000-06-26,4.394827468838973,4.386476271468262,298.73218573105714,241.8634425885288,1.6474612210517676,0.15277361707765139,275.2496119969998,279.1282036451936,983.6746177023848,11179657.0
2000-06-27,4.672579562114874,4.431983029452314,299.830751213995,234.8592432819901,1.6714978892889436,0.1575063746166835,275.28371725198747,279.10926842169397,984.5661967914147,11136942.0
2000-06-28,4.575751530512708,4.4951885969386565,302.64520020225694,228.36815726963047,1.8388926337676152,0.22103257614741348,275.3060239343917,278.90334955203355,984.4104797629805,11028448.0
2000-06-29,4.4536732911747015,4.629314680770913,305.4574591473186,222.70293580030474,1.7234822027215995,0.2813339543068712,275.3472718680131,279.0103441608386,983.9015106935392,10945902.0
2000-06-30,4.544386234200019,4.605014617618144,305.0154459077207,221.2233782103771,1.4450758517856772,0.22712943201149693,275.3827146234151,278.9347702477117,984.047149478053,10899483.0
2000-07-01,4.615441455929981,4.531168420889486,305.22897222320194,219.7021900889687,1.3135649492752735,0.15684868127350038,275.5874462120982,278.8925014483131,983.4656919012594,10703335.0
2000-07-02,4.376183142785025,4.556841009299721,305.2210895674077,216.2232989097596,1.3952516191797835,0.08959504911975652,275.6343354285823,279.0495968774282,983.5982381614263,10678353.0
2000-07-03,4.622240472701993,4.531254438965241,304.56954406522755,217.3876999440448,1.5673866862336743,0.12965608105666956,275.6838427509099,279.07268037000256,982.8361251216285,10599946.0
2000-07-04,4.631186206623209,4.524197566139628,304.64578596224436,216.7145864418806,1.85354330269277,0.2116641879323796,275.71978202002003,279.10547226311775,982.9964639399445,10518712.0
2000-07-05,4.586567051062559,4.561060547466161,308.2163147870117,206.83889961430293,1.8457502295187633,0.23004198240041632,275.77551094054786,279.2569133332146,982.4166825227653,10449324.0
2000-07-06,4.624485292719839,4.629803863067361,307.6524561515149,210.421379021348,2.075120257120418,0.23775860128842194,275.8314959281798,279.2125074270345,981.4858873813035,10374687.0
2000-07-07,4.434614236314528,4.660710180531049,308.618754582744,211.6981681535358,1.7168577000090754,0.2484263800177794,275.9100940415593,279.3761086664849,981.0165683563145,10351553.0
2000-07-08,4.14471070478373,4.8069940506403075,308.3042402121593,215.56992102203284,1.5224808593090946,0.18085161263274713,275.9917104970635,279.8163861415467,980.1046307070288,10270949.0
2000-07-09,4.080499427910743,4.825598444451339,306.98531945846355,217.96836504212322,1.5277528262483293,0.18432366070464778,276.05406865907804,280.053170993948,980.6795834261576,10251777.0
2000-07-10,4.476262618505492,4.78728081064299,306.8516383246909,214.62082075558516,1.559690215520089,0.16443466438376045,276.1453614338819,279.91612968827405,982.1712221926009,10086705.0
2000-07-11,4.550519617343824,4.702902609016383,307.58815914964526,210.75473707227192,1.4059667114278414,0.2259800661148272,276.2084480115665,279.61780670267126,981.8106259272231,10029146.0
2000-07-12,4.560608581583354,4.742714294263809,307.0219771058662,211.48952970092617,1.3394663209516853,0.20610809913510236,276.28444959049534,279.62019726175436,981.5925471006753,9932691.0
2000-07-13,4.439557305206715,4.792767708834,306.4251541621488,213.48443167631464,1.4071752992588613,0.2264902982017941,276.35462043759657,279.6282409503298,981.7969964779605,9770228.0
